# 数据由 ./gen-多音字.py 生成;
#
# 格式:
#   三简码 该三简码的所有字 如果一简码首选或二简码是多音字
# 我们直接在该行上修改.


xrr 伭儇
xrw 玄璇玹琄瑄
xtx 削峃敩
xud 浒洫㳚湑溆
xuh 虚欻
xuk 吁嘘冔勖
xut 墟圩垿
xuw 畜戌顼珝
xxi 辖虾厦
xxk 吓匣呷
xyb 旬窨郇
xyc 薰荀荨蕈
xyd 汛殉洵浚浔
yai 压轧衙蚜
ybb 寅瘾窨
ybp 印殷胤禋
ybt 垠圻堙
ybv 尹龈龂
ycb 窑窈疟窅
ycj 钥铫
ycp 夭舀鹞繇么 么:['maps', 'me', 'mep', 'meps', 'ycps']
yek 叶噎咽吔嘢
yey 谒邺邪
yic 艺艾苡荑薏𬟁
yii 役蚁蜴轶螠蛇
yik 医咦贻邑颐咿呓噫翳匜嗌繄
yio 易胰臆昳晹眙
yir 依仪伊亿倚佚食㑊仡佁佾
yiu 懿壹尾勚饴
yiz 遗逸迤劓
yjh 烟炎焰焱剡扊烻甗虤
yjk 咽唁觃郾𬸘
yjm 验檐阉闫阎阏棪
yjo 腌晏胭
ykc 英营荧莹莺萤萦荥茔䓨蓥
yrc 苑芫
yrd 源渊沅涴湲
yrk 员圆圜円
yrn 媛妧嫄
ysd 永泳涌澭
ytj 钥钺
ytk 曰哕
ytm 阅樾栎
ytp 粤乐 乐:['lcp', 'lcpd', 'le', 'lep', 'lepd', 'ytp', 'ytpd']
yuc 芋蔚菀萸蓣薁
yue 屿隅峪嵎嵛隩
yuf 揄於
yug 鬻庾粥髃
yuk 喻吁圄圉
yur 余愈俞伛觎俣悆畬
yuu 郁熨尉饫
yyk 员郧
yyv 筠筼
yzp 祐釉繇牖
zaf 扎拶 扎:['va', 'vafv', 'zaf', 'zafv']
zak 咂匝咱
zef 责择
zek 啧咋赜 咋:['vakv', 'za', 'zakv', 'zekv']
zev 笮箦舴
zgb 曾甑䎖鄫 曾:['cg', 'cgb', 'cgbo', 'zgb', 'zgbo']
zgs 综缯罾
zhp 奘牂
zib 兹孳
zic 茈鼒
zid 资姿滋咨渍恣滓淄粢
zik 呲嗞吱
ziv 子紫龇赀笫觜訾
zjf 攒拶
zjn 赞酂
zof 撮捽
zsm 棕粽枞
zss 综纵
zuw 卒珇
zvk 嘴咀
